Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","2014","2014","ha","6869400","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","2014","2014","t","26848100","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","2015","2015","ha","6769500","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","2015","2015","t","26630700","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","2016","2016","ha","6724000","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","2016","2016","t","26085100","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","2017","2017","ha","6745500","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","2017","2017","t","26035800","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","2018","2018","ha","7149300","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","2018","2018","t","28016100","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","2019","2019","ha","6921000","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","2019","2019","t","26691400","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","2020","2020","ha","6830000","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","2020","2020","t","26399600","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","2021","2021","ha","7043300","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","2021","2021","t","27438300","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","2022","2022","ha","6899300","E","Estimated value",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","2022","2022","t","24680200","E","Estimated value",""
